CodMunicipio;Municipi;Casos PCR+;Incidència acumulada PCR+;Casos PCR+ 14 dies;Incidència acumulada PCR+14;Defuncions;Taxa de defunció
46211;Real de Gandía; 20; 812,68; 0; 0,0; 1; 40,63
3111;Redován; 43; 546,45; 7; 88,96; 1; 12,71
3112;Relleu; 4; 344,83; 0; 0,0; 1; 86,21
46213;Requena; 386; 1905,8; 85; 419,67; 29; 143,18
46214;Riba-roja de Túria; 136; 610,85; 5; 22,46; 5; 22,46
12095;Ribesalbes; 9; 766,61; 2; 170,36; 0; 0,0
46215;Riola; 3; 170,55; 0; 0,0; 0; 0,0
46216;Rocafort; 55; 759,67; 4; 55,25; 0; 0,0
3113;Rojales; 61; 359,61; 10; 58,95; 2; 11,79
3114;Romana (la); 11; 451,93; 1; 41,08; 0; 0,0
12096;Rossell; 6; 640,34; 0; 0,0; 0; 0,0
46217;Rotglà i Corberà; 2; 175,75; 0; 0,0; 0; 0,0
46219;Rugat; 2; 1265,82; 0; 0,0; 1; 632,91
3110;Ràfol d'Almúnia (El); 3; 459,42; 0; 0,0; 0; 0,0
46210;Ráfol de Salem; 4; 865,8; 0; 0,0; 0; 0,0
46218;Rótova; 34; 2627,51; 5; 386,4; 0; 0,0
12097;Sacañet; 0; 0,0; 0; 0,0; 0; 0,0
3115;Sagra; 7; 1715,69; 0; 0,0; 0; 0,0
46220;Sagunto/Sagunt; 645; 975,2; 162; 244,93; 15; 22,68
46221;Salem; 0; 0,0; 0; 0,0; 0; 0,0
3116;Salinas; 16; 999,38; 3; 187,38; 1; 62,46
12098;Salzadella (la); 6; 852,27; 0; 0,0; 1; 142,05
46903;San Antonio de Benagéber; 52; 572,12; 4; 44,01; 1; 11,0
3118;San Fulgencio; 20; 254,61; 3; 38,19; 2; 25,46
3904;San Isidro; 10; 503,52; 4; 201,41; 0; 0,0
3120;San Miguel de Salinas; 42; 696,06; 4; 66,29; 1; 16,57
12101;San Rafael del Río; 3; 639,66; 1; 213,22; 0; 0,0
3122;San Vicente del Raspeig/Sant Vicent del Raspeig; 459; 786,16; 76; 130,17; 7; 11,99
3117;Sanet y Negrals; 2; 299,85; 0; 0,0; 0; 0,0
3119;Sant Joan d'Alacant; 182; 761,03; 22; 91,99; 2; 8,36
46222;Sant Joan de l'Ènova; 2; 396,83; 0; 0,0; 0; 0,0
12902;Sant Joan de Moró; 15; 474,83; 4; 126,62; 0; 0,0
12099;Sant Jordi/San Jorge; 2; 205,76; 0; 0,0; 0; 0,0
12100;Sant Mateu; 24; 1222,62; 3; 152,83; 0; 0,0
12102;Santa Magdalena de Pulpis; 2; 260,42; 0; 0,0; 0; 0,0
3121;Santa Pola; 339; 1049,34; 24; 74,29; 6; 18,57
12103;Sarratella; 0; 0,0; 0; 0,0; 0; 0,0
3123;Sax; 52; 528,19; 14; 142,2; 3; 30,47
46223;Sedaví; 108; 1045,2; 4; 38,71; 2; 19,36
46224;Segart; 0; 0,0; 0; 0,0; 0; 0,0
12104;Segorbe; 80; 891,07; 10; 111,38; 7; 77,97
3124;Sella; 1; 172,41; 0; 0,0; 0; 0,0
46225;Sellent; 0; 0,0; 0; 0,0; 0; 0,0
46226;Sempere; 0; 0,0; 0; 0,0; 0; 0,0
3125;Senija; 0; 0,0; 0; 0,0; 0; 0,0
46227;Senyera; 4; 352,11; 0; 0,0; 0; 0,0
46228;Serra; 14; 448,14; 1; 32,01; 0; 0,0
12105;Sierra Engarcerán; 4; 409,84; 1; 102,46; 0; 0,0
46229;Siete Aguas; 4; 346,62; 3; 259,97; 0; 0,0
46230;Silla; 110; 586,01; 29; 154,49; 0; 0,0
46231;Simat de la Valldigna; 22; 660,86; 5; 150,2; 1; 30,04
46232;Sinarcas; 6; 533,33; 2; 177,78; 1; 88,89
46233;Sollana; 25; 514,3; 5; 102,86; 1; 20,57
12106;Soneja; 10; 691,09; 6; 414,65; 0; 0,0
46234;Sot de Chera; 0; 0,0; 0; 0,0; 0; 0,0
12107;Sot de Ferrer; 4; 963,86; 1; 240,96; 0; 0,0
46235;Sueca; 205; 746,02; 27; 98,26; 1; 3,64
12108;Sueras/Suera; 1; 190,48; 0; 0,0; 1; 190,48
46236;Sumacàrcer; 26; 2372,26; 2; 182,48; 0; 0,0
12109;Tales; 3; 363,64; 2; 242,42; 0; 0,0
46237;Tavernes Blanques; 58; 635,96; 4; 43,86; 1; 10,96
46238;Tavernes de la Valldigna; 117; 680,19; 12; 69,76; 15; 87,2
12110;Teresa; 0; 0,0; 0; 0,0; 0; 0,0
46239;Teresa de Cofrentes; 7; 1100,63; 0; 0,0; 1; 157,23
46240;Terrateig; 0; 0,0; 0; 0,0; 0; 0,0
3128;Teulada; 39; 350,97; 3; 27,0; 1; 9,0
3129;Tibi; 18; 1115,24; 2; 123,92; 2; 123,92
46241;Titaguas; 7; 1545,25; 0; 0,0; 0; 0,0
12112;Todolella; 1; 645,16; 0; 0,0; 0; 0,0
12113;Toga; 1; 1000,0; 0; 0,0; 0; 0,0
3130;Tollos; 0; 0,0; 0; 0,0; 0; 0,0
3131;Tormos; 0; 0,0; 0; 0,0; 0; 0,0
12115;Toro (El); 0; 0,0; 0; 0,0; 0; 0,0
12116;Torralba del Pinar; 0; 0,0; 0; 0,0; 0; 0,0
12119;Torre d'En Besora (la); 0; 0,0; 0; 0,0; 0; 0,0
12120;Torre d'en Doménec (la); 0; 0,0; 0; 0,0; 0; 0,0
46242;Torrebaja; 2; 486,62; 0; 0,0; 0; 0,0
12117;Torreblanca; 34; 615,05; 5; 90,45; 0; 0,0
12118;Torrechiva; 0; 0,0; 0; 0,0; 0; 0,0
46243;Torrella; 0; 0,0; 0; 0,0; 0; 0,0
3132;Torremanzanas/Torre de les Maçanes (la); 2; 302,57; 1; 151,29; 0; 0,0
46244;Torrent; 1049; 1276,03; 80; 97,31; 63; 76,63
46245;Torres Torres; 0; 0,0; 0; 0,0; 0; 0,0
3133;Torrevieja; 867; 1040,35; 59; 70,8; 45; 54,0
12114;Torás; 0; 0,0; 0; 0,0; 0; 0,0
46246;Tous; 11; 870,94; 0; 0,0; 0; 0,0
12121;Traiguera; 9; 653,12; 3; 217,71; 0; 0,0
46248;Turís; 49; 737,29; 4; 60,19; 0; 0,0
46247;Tuéjar; 3; 268,82; 2; 179,21; 0; 0,0
3127;Tàrbena; 0; 0,0; 0; 0,0; 0; 0,0
12111;Tírig; 1; 238,66; 0; 0,0; 0; 0,0
12122;Useras/Useres (les); 0; 0,0; 0; 0,0; 0; 0,0
46249;Utiel; 215; 1864,54; 9; 78,05; 27; 234,15
46250;Valencia; 11721; 1475,66; 1340; 168,7; 312; 39,28
12124;Vall d'Alba; 25; 890,63; 1; 35,63; 1; 35,63
3134;Vall d'Alcalà (la); 1; 598,8; 0; 0,0; 0; 0,0
3135;Vall d'Ebo (la); 0; 0,0; 0; 0,0; 0; 0,0
12126;Vall d'Uixó (la); 169; 533,8; 24; 75,81; 4; 12,63
12125;Vall de Almonacid; 1; 371,75; 0; 0,0; 0; 0,0
3136;Vall de Gallinera; 0; 0,0; 0; 0,0; 0; 0,0
3137;Vall de Laguar (la); 3; 354,61; 0; 0,0; 0; 0,0
46251;Vallada; 13; 427,77; 0; 0,0; 2; 65,81
46252;Vallanca; 1; 719,42; 0; 0,0; 0; 0,0
12123;Vallat; 0; 0,0; 0; 0,0; 0; 0,0
12127;Vallibona; 0; 0,0; 0; 0,0; 0; 0,0
46253;Vallés; 0; 0,0; 0; 0,0; 0; 0,0
46254;Venta del Moro; 4; 331,4; 2; 165,7; 0; 0,0
3138;Verger (el); 46; 991,38; 1; 21,55; 0; 0,0
12135;Vila-real; 519; 1019,79; 51; 100,21; 51; 100,21
12128;Vilafamés; 12; 651,47; 6; 325,73; 0; 0,0
46256;Vilamarxant; 40; 411,65; 2; 20,58; 1; 10,29
12132;Vilanova d'Alcolea; 6; 1027,4; 1; 171,23; 0; 0,0
12134;Vilar de Canes; 6; 3550,3; 0; 0,0; 0; 0,0
12136;Vilavella (la); 10; 316,76; 2; 63,35; 1; 31,68
12129;Villafranca del Cid/Vilafranca; 11; 500,0; 0; 0,0; 0; 0,0
12130;Villahermosa del Río; 58; 11860,94; 1; 204,5; 14; 2862,99
3139;Villajoyosa/Vila Joiosa (la); 408; 1176,71; 16; 46,15; 21; 60,57
46255;Villalonga; 23; 538,64; 0; 0,0; 0; 0,0
12131;Villamalur; 1; 1612,9; 0; 0,0; 0; 0,0
46257;Villanueva de Castellón; 39; 553,27; 5; 70,93; 1; 14,19
12133;Villanueva de Viver; 2; 3278,69; 2; 3278,69; 0; 0,0
46258;Villar del Arzobispo; 16; 450,2; 6; 168,82; 0; 0,0
46259;Villargordo del Cabriel; 2; 339,56; 0; 0,0; 0; 0,0
3140;Villena; 341; 1004,0; 51; 150,16; 7; 20,61
12137;Villores; 0; 0,0; 0; 0,0; 0; 0,0
46260;Vinalesa; 24; 701,75; 1; 29,24; 0; 0,0
12138;Vinaròs; 220; 767,03; 59; 205,7; 1; 3,49
12139;Vistabella del Maestrazgo; 6; 1769,91; 0; 0,0; 0; 0,0
12140;Viver; 5; 325,52; 2; 130,21; 0; 0,0
3081;Xaló; 12; 438,12; 5; 182,55; 0; 0,0
46143;Xeraco; 23; 406,72; 3; 53,05; 1; 17,68
46146;Xeresa; 7; 322,88; 1; 46,13; 0; 0,0
46110;Xirivella; 431; 1454,95; 32; 108,02; 7; 23,63
46145;Xàtiva; 290; 992,1; 66; 225,79; 9; 30,79
46262;Yesa (La); 8; 3493,45; 3; 1310,04; 0; 0,0
46261;Yátova; 5; 241,9; 2; 96,76; 0; 0,0
46263;Zarra; 3; 835,65; 1; 278,55; 0; 0,0
12141;Zorita del Maestrazgo; 0; 0,0; 0; 0,0; 0; 0,0
12142;Zucaina; 0; 0,0; 0; 0,0; 0; 0,0
46119;Ènova (l'); 9; 1014,66; 2; 225,48; 1; 112,74
